"Year","Offence_Type","Gender_Accused","Relationship_Type","Total_Offences","Cleared_Offences","Clearance_Rate"
"2010","Endangering life (art. 129)","female","parent-child relationship","169","4","0.023669"
"2010","Endangering life (art. 129)","female","partnership","169","12","0.071006"
"2010","Endangering life (art. 129)","female","Total","169","21","0.12426"
"2010","Endangering life (art. 129)","male","former partnership","169","28","0.16568"
"2010","Endangering life (art. 129)","male","other family relationship","169","5","0.029586"
"2010","Endangering life (art. 129)","male","parent-child relationship","169","7","0.04142"
"2010","Endangering life (art. 129)","male","partnership","169","107","0.633136"
"2010","Endangering life (art. 129)","male","Total","169","143","0.846154"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","female","former partnership","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","female","other family relationship","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","female","parent-child relationship","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","female","partnership","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","female","Total","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","male","former partnership","3","1","0.333333"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","male","other family relationship","3","0","0"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","male","parent-child relationship","3","1","0.333333"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","male","partnership","3","1","0.333333"
"2010","Exploitation of a person in a position of need or dependency (art. 193)","male","Total","3","3","1"
"2010","False imprisonment and abduction (art. 183)","female","former partnership","105","0","0"
"2010","False imprisonment and abduction (art. 183)","female","other family relationship","105","4","0.038095"
"2010","False imprisonment and abduction (art. 183)","female","parent-child relationship","105","7","0.066667"
"2010","False imprisonment and abduction (art. 183)","female","partnership","105","2","0.019048"
"2010","False imprisonment and abduction (art. 183)","female","Total","105","13","0.12381"
"2010","False imprisonment and abduction (art. 183)","male","former partnership","105","31","0.295238"
"2010","False imprisonment and abduction (art. 183)","male","other family relationship","105","11","0.104762"
"2010","False imprisonment and abduction (art. 183)","male","parent-child relationship","105","7","0.066667"
"2010","False imprisonment and abduction (art. 183)","male","partnership","105","51","0.485714"
"2010","False imprisonment and abduction (art. 183)","male","Total","105","98","0.933333"
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","female","former partnership","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","female","other family relationship","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","female","parent-child relationship","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","female","partnership","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","female","Total","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","male","former partnership","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","male","other family relationship","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","male","parent-child relationship","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","male","partnership","0","0",
"2010","False imprisonment and abduction: aggravating circumstances (art. 184)","male","Total","0","0",
"2010","Homicides attempted (art. 111-113/116)","female","former partnership","51","4","0.078431"
"2010","Homicides attempted (art. 111-113/116)","female","other family relationship","51","4","0.078431"
"2010","Homicides attempted (art. 111-113/116)","female","parent-child relationship","51","3","0.058824"
"2010","Homicides attempted (art. 111-113/116)","female","partnership","51","5","0.098039"
"2010","Homicides attempted (art. 111-113/116)","female","Total","51","15","0.294118"
"2010","Homicides attempted (art. 111-113/116)","male","former partnership","51","14","0.27451"
